ID,DOB,Sex,Strain,Date,CA (%),Weight,Daily Change,Total Change,General Digging?,Nest Made?,Lethargy?,Anxious Behaviors?,CA Spot Digging?
R2,8/13/2025,F,Bl/6,10/5/2025,0%,22.4,0.0,0.0,No,Yes,No,No,No
R2,8/13/2025,F,Bl/6,10/6/2025,0%,22.6,0.89,0.89,No,Yes,No,No,No
R2,8/13/2025,F,Bl/6,10/7/2025,0%,22.5,-0.44,0.45,No,Yes,No,No,No
R2,8/13/2025,F,Bl/6,10/8/2025,1%,21.2,-5.78,-5.36,No,Yes,No,Yes,No
R2,8/13/2025,F,Bl/6,10/9/2025,1%,20.5,-3.3,-8.48,Yes,Yes,No,No,No
R2,8/13/2025,F,Bl/6,10/10/2025,1%,20.7,0.98,-7.59,No,Yes,No,No,No
R2,8/13/2025,F,Bl/6,10/11/2025,2%,20.0,-3.38,-10.71,Yes,No,No,Yes,No
R2,8/13/2025,F,Bl/6,10/12/2025,2%,19.5,-2.5,-12.95,Yes,No,No,Yes,No
R2,8/13/2025,F,Bl/6,10/13/2025,2%,19.7,1.03,-12.05,No,Yes,No,Yes,No
R2,8/13/2025,F,Bl/6,10/14/2025,3%,19.5,-1.02,-12.95,Yes,Yes,No,Yes,No
R2,8/13/2025,F,Bl/6,10/15/2025,3%,19.4,-0.51,-13.39,Yes,No,No,No,No
R2,8/13/2025,F,Bl/6,10/16/2025,3%,19.5,0.52,-12.95,No,Yes,No,No,No
R2,8/13/2025,F,Bl/6,10/17/2025,4%,19.2,-1.54,-14.29,No,Yes,No,Yes,No
R2,8/13/2025,F,Bl/6,10/18/2025,4%,19.0,-1.04,-15.18,No,No,No,No,No
R2,8/13/2025,F,Bl/6,10/19/2025,4%,19.3,1.58,-13.84,No,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/5/2025,0%,18.7,0.0,0.0,No,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/6/2025,0%,18.9,1.07,1.07,No,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/7/2025,0%,18.9,0.0,1.07,No,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/8/2025,1%,17.5,-7.41,-6.42,No,Yes,No,Yes,No
R4,8/13/2025,F,Bl/6,10/9/2025,1%,17.3,-1.14,-7.49,Yes,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/10/2025,1%,17.2,-0.58,-8.02,No,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/11/2025,2%,16.8,-2.33,-10.16,Yes,No,No,Yes,No
R4,8/13/2025,F,Bl/6,10/12/2025,2%,16.5,-1.79,-11.76,Yes,No,No,Yes,No
R4,8/13/2025,F,Bl/6,10/13/2025,2%,16.4,-0.61,-12.3,No,Yes,No,Yes,No
R4,8/13/2025,F,Bl/6,10/14/2025,3%,16.2,-1.22,-13.37,Yes,Yes,No,Yes,No
R4,8/13/2025,F,Bl/6,10/15/2025,3%,15.9,-1.85,-14.97,Yes,No,No,No,No
R4,8/13/2025,F,Bl/6,10/16/2025,3%,16.1,1.26,-13.9,No,Yes,No,No,No
R4,8/13/2025,F,Bl/6,10/17/2025,4%,15.8,-1.86,-15.51,No,Yes,No,Yes,No
R4,8/13/2025,F,Bl/6,10/18/2025,4%,15.7,-0.63,-16.04,No,No,No,No,No
R4,8/13/2025,F,Bl/6,10/19/2025,4%,16.1,2.55,-13.9,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/5/2025,0%,26.2,0.0,0.0,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/6/2025,0%,26.4,0.76,0.76,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/7/2025,0%,26.5,0.38,1.15,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/8/2025,1%,24.9,-6.04,-4.96,No,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/9/2025,1%,24.5,-1.61,-6.49,Yes,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/10/2025,1%,24.3,-0.82,-7.25,Yes,Yes,No,No,No
R10,8/10/2025,M,Bl/6,10/11/2025,2%,23.9,-1.65,-8.78,No,No,Yes,No,No
R10,8/10/2025,M,Bl/6,10/12/2025,2%,23.6,-1.26,-9.92,Yes,No,Yes,No,No
R10,8/10/2025,M,Bl/6,10/13/2025,2%,23.7,0.42,-9.54,No,Yes,Yes,No,No
R10,8/10/2025,M,Bl/6,10/14/2025,3%,23.2,-2.11,-11.45,No,Yes,Yes,No,No
